grid_row,grid_col,lon,lat,ndvi_2008,ndvi_2013,ndvi_2018,ndvi_2023,cluster,ndvi_change_2008_2023
4,22,-76.38346359667521,8.70208333255447,0.7162538170814514,0.7486506700515747,0.7193557620048523,0.7514773011207581,0,0.03522348403930664
4,23,-76.34131169358122,8.70208333255447,0.7177711129188538,0.7401913404464722,0.7527272701263428,0.7674332857131958,0,0.04966217279434204
5,13,-76.7543076955969,8.660416665891532,0.7511880993843079,0.7429576516151428,0.7546094059944153,0.7437312602996826,0,-0.007456839084625244
5,14,-76.71216047265717,8.660416665891532,0.7128353118896484,0.7222146987915039,0.7155304551124573,0.719631016254425,0,0.006795704364776611
5,15,-76.67001324971744,8.660416665891532,0.7314361929893494,0.7438072562217712,0.698453426361084,0.7253232598304749,0,-0.006112933158874512
5,16,-76.62786602677771,8.660416665891532,0.7404099702835083,0.775921106338501,0.7717478275299072,0.7583498358726501,0,0.017939865589141846
5,17,-76.58571880383796,8.660416665891532,0.7535436153411865,0.7914187908172607,0.7842117547988892,0.7810828685760498,0,0.02753925323486328
5,18,-76.54357158089823,8.660416665891532,0.7597242593765259,0.7995194792747498,0.7964903116226196,0.7842257618904114,0,0.024501502513885498
5,19,-76.50142435795848,8.660416665891532,0.7553310990333557,0.7900155782699585,0.7698233127593994,0.7814478874206543,0,0.026116788387298584
5,20,-76.45927713501877,8.660416665891532,0.7028499841690063,0.7542026042938232,0.7331036329269409,0.7661657929420471,0,0.06331580877304077
5,21,-76.41712991207903,8.660416665891532,0.6922218203544617,0.7508925795555115,0.716459333896637,0.7353893518447876,0,0.04316753149032593
5,22,-76.37498268913929,8.660416665891532,0.7339520454406738,0.7614009380340576,0.7502427101135254,0.76003098487854,0,0.02607893943786621
5,23,-76.33283546619957,8.660416665891532,0.74547278881073,0.7678109407424927,0.7607018351554871,0.7468457818031311,0,0.001372992992401123
5,24,-76.29068824325982,8.660416665891532,0.7902462482452393,0.7928950190544128,0.7736718058586121,0.7605608105659485,0,-0.02968543767929077
6,10,-76.87225483992457,8.618749999228594,0.7942498922348022,0.8180755376815796,0.809228241443634,0.8199516534805298,0,0.02570176124572754
6,11,-76.83011227381533,8.618749999228594,0.8008533716201782,0.8085465431213379,0.8195141553878784,0.8225744366645813,0,0.021721065044403076
6,12,-76.78796970770607,8.618749999228594,0.7630324959754944,0.7695370316505432,0.7792842984199524,0.7793422341346741,0,0.016309738159179688
6,13,-76.74582714159682,8.618749999228594,0.7799410820007324,0.794817328453064,0.794058620929718,0.7881090044975281,0,0.008167922496795654
6,14,-76.70368457548759,8.618749999228594,0.7231256365776062,0.7329257130622864,0.7117322683334351,0.7175363302230835,0,-0.005589306354522705
6,15,-76.66154200937832,8.618749999228594,0.7998472452163696,0.8040069341659546,0.7905619144439697,0.8016989231109619,0,0.0018516778945922852
6,16,-76.61939944326909,8.618749999228594,0.7696480751037598,0.8015634417533875,0.7777045369148254,0.7771819829940796,0,0.007533907890319824
6,17,-76.57725687715984,8.618749999228594,0.7606523036956787,0.7870586514472961,0.7805070281028748,0.7643899321556091,0,0.00373762845993042
6,18,-76.53511431105058,8.618749999228594,0.7501382231712341,0.790444016456604,0.770047128200531,0.7694652676582336,0,0.01932704448699951
6,19,-76.49297174494133,8.618749999228594,0.7419256567955017,0.7838166952133179,0.7715977430343628,0.7807071208953857,0,0.03878146409988403
6,20,-76.4508291788321,8.618749999228594,0.72307950258255,0.7564918398857117,0.7335281372070312,0.7626244425773621,0,0.03954493999481201
6,21,-76.40868661272285,8.618749999228594,0.7465204000473022,0.7681112885475159,0.7525074481964111,0.7782129645347595,0,0.031692564487457275
6,22,-76.36654404661361,8.618749999228594,0.7220370769500732,0.7423736453056335,0.7162153720855713,0.7467078566551208,0,0.024670779705047607
6,23,-76.32440148050435,8.618749999228594,0.7427226305007935,0.7636886835098267,0.756665825843811,0.7733539342880249,0,0.030631303787231445
6,24,-76.2822589143951,8.618749999228594,0.767862856388092,0.7679636478424072,0.7504003047943115,0.7572234272956848,0,-0.010639429092407227
6,25,-76.24011634828585,8.618749999228594,0.7850452065467834,0.7818848490715027,0.7712491154670715,0.7815006375312805,0,-0.0035445690155029297
7,8,-76.94807870242435,8.577083332565657,0.7741748094558716,0.8044794201850891,0.8115741014480591,0.8183571696281433,0,0.04418236017227173
