year,band,total_pixels,valid_pixels,nan_pixels,valid_pct,nan_pct,out_low_count,out_high_count,min,p01,p05,p25,p50,p75,p95,p99,max,mean,std
2018,swir2,36203130,35921844,281286,99.223034030483,0.7769659695170004,0,1,0.0016024999786168337,0.020999999999999998,0.041,0.057,0.077,0.099,0.139,0.187,1.0514012575149536,0.08174823811816796,0.03307154867629488
2018,ndvi,36203130,35919285,283845,99.21596558087657,0.7840344191234294,0,0,-0.9949281215667725,0.15799999999999992,0.558,0.722,0.794,0.8500000000000001,0.8820000000000001,0.8980000000000001,0.9998605251312256,0.7636687151745982,0.13522951414334827
2020,red,36203130,35668017,535113,98.52191509408165,1.4780849059183556,2879,604,-0.17634999752044678,0.015,0.019000000000000003,0.027000000000000003,0.039,0.055,0.087,0.123,1.174477458000183,0.04424563821704736,0.026621104662576094
2020,nir,36203130,35668017,535113,98.52191509408165,1.4780849059183556,1,446,-0.03733750060200691,0.111,0.203,0.28700000000000003,0.329,0.363,0.41300000000000003,0.457,1.138837456703186,0.320814996241508,0.06620990394306674
2020,swir1,36203130,35668017,535113,98.52191509408165,1.4780849059183556,0,1,0.0019049999536946416,0.047,0.097,0.14100000000000001,0.175,0.215,0.277,0.333,1.0200649499893188,0.17995860560851473,0.05683788582355497
2020,swir2,36203130,35668017,535113,98.52191509408165,1.4780849059183556,0,0,0.0013549999566748738,0.023,0.041,0.057,0.077,0.10500000000000001,0.153,0.20500000000000002,0.9565262794494629,0.08449091915185009,0.036791923982905136
2020,ndvi,36203130,35665138,537992,98.51396274300039,1.4860372569996019,0,0,-0.9449967741966248,0.20599999999999996,0.526,0.71,0.79,0.8460000000000001,0.8780000000000001,0.8940000000000001,0.9998772144317627,0.7562599833110649,0.13357850273756824
2021,red,36203130,35329146,873984,97.58588829197917,2.4141117080208256,6095,842,-0.12808750569820404,0.015,0.019000000000000003,0.027000000000000003,0.037000000000000005,0.053000000000000005,0.081,0.125,1.1770349740982056,0.04335659893763404,0.0315369225152643
2021,nir,36203130,35329146,873984,97.58588829197917,2.4141117080208256,515,1415,-0.023752499371767044,0.091,0.211,0.297,0.341,0.379,0.433,0.483,1.22284996509552,0.3342765951365439,0.07239929395834094
2021,swir1,36203130,35329146,873984,97.58588829197917,2.4141117080208256,0,0,0.0006399999838322401,0.033,0.099,0.14300000000000002,0.17300000000000001,0.20700000000000002,0.259,0.307,0.9843699932098389,0.17579067388790431,0.05167817081475594
2021,swir2,36203130,35329146,873984,97.58588829197917,2.4141117080208256,0,0,0.001011249958537519,0.019000000000000003,0.043,0.059,0.077,0.099,0.137,0.185,0.9284350275993347,0.0812697792785531,0.032458213813727106
2021,ndvi,36203130,35322626,880504,97.56787879942978,2.432121200570227,0,0,-0.9965811967849731,0.1140000000000001,0.562,0.73,0.798,0.8500000000000001,0.8860000000000001,0.9020000000000001,0.9999639391899109,0.7673754581388842,0.13846279080264765
2023,red,36203130,36011182,191948,99.46980274909932,0.5301972509006818,2346,190,-0.11876499652862549,0.015,0.019000000000000003,0.027000000000000003,0.037000000000000005,0.053000000000000005,0.081,0.125,1.1722500324249268,0.0432931615127778,0.029301048929375934
2023,nir,36203130,36011182,191948,99.46980274909932,0.5301972509006818,339,481,-0.003155000042170286,0.087,0.213,0.295,0.339,0.375,0.423,0.46900000000000003,1.2223000526428223,0.33097227218513886,0.06890876693280638
2023,swir1,36203130,36011182,191948,99.46980274909932,0.5301972509006818,0,0,0.0003650000144261867,0.028999999999999998,0.099,0.14300000000000002,0.17300000000000001,0.211,0.265,0.309,0.8944175243377686,0.17711834579624752,0.053117669301171254
2023,swir2,36203130,36011182,191948,99.46980274909932,0.5301972509006818,0,0,0.0011350000277161598,0.017,0.041,0.059,0.077,0.101,0.14100000000000001,0.187,0.8507887721061707,0.08267070254353863,0.03370173036699227
2023,ndvi,36203130,36008519,194611,99.46244703151358,0.5375529684864264,0,0,-0.9991044998168945,0.09800000000000009,0.558,0.726,0.798,0.8540000000000001,0.8860000000000001,0.8980000000000001,0.9999529719352722,0.7654221719783433,0.1442430901356429
